goal,dimension,region_name,estimate,estimate_cat,a3_code
AO,pressures,Gilbert Islands (Kiribati),-0.2428571428571887,  ,NA
AO,pressures,Glorioso Islands,-0.013428571428575271,  ,NA
AO,pressures,Greece,0.06828571428571796, ,GRC
AO,pressures,Greenland,-0.09485714285714784,  ,GRL
AO,pressures,Grenada,0.04514285714286888, ,GRD
AO,pressures,Guadeloupe and Martinique,-0.15257142857144657,  ,GLP
AO,pressures,Guatemala,0.07428571428572142, ,GTM
AO,pressures,Guernsey,-0.02714285714287513,  ,GGY
AO,pressures,Guinea,-0.5754285714286935,  ,GIN
AO,pressures,Guinea Bissau,0.051428571428538454, ,GNB
AO,pressures,Guyana,-8.571428571447297e-4,  ,GUY
AO,pressures,Haiti,0.040285714285718234, ,HTI
AO,pressures,Heard and McDonald Islands,0.0714285714286029, ,HMD
AO,pressures,Honduras,0.03571428571428666, ,HND
AO,pressures,Howland Island and Baker Island,-0.12057142857145499,  ,NA
AO,pressures,Iceland,-0.1322857142857329,  ,ISL
AO,pressures,Ile Europa,-0.020857142857148903,  ,NA
AO,pressures,Ile Tromelin,-0.021714285714293173,  ,NA
AO,pressures,India,0.00457142857140335, ,IND
AO,pressures,Indonesia,-0.2577142857143355,  ,IDN
AO,pressures,Iran,-0.1654285714286004,  ,IRN
AO,pressures,Iraq,0.15857142857149373, ,IRQ
AO,pressures,Ireland,-0.28114285714292425,  ,IRL
AO,pressures,Israel,-0.18371428571432688,  ,ISR
AO,pressures,Italy,-0.0794285714285907,  ,ITA
AO,pressures,Ivory Coast,-0.49657142857153785,  ,NA
AO,pressures,Jamaica,-0.054571428571429346,  ,JAM
AO,pressures,Jan Mayen,0.061714285714294, ,SJM
AO,pressures,Japan,-0.2525714285714805,  ,JPN
AO,pressures,Jarvis Island,-0.036285714285722206,  ,NA
AO,pressures,Jersey,0.03571428571429342, ,JEY
AO,pressures,Johnston Atoll,-0.12428571428573527,  ,NA
AO,pressures,Jordan,0.21342857142862479, ,JOR
AO,pressures,Juan de Nova Island,-0.03457142857143798,  ,NA
